,department id:2,department id:3,department id:4,department id:5,department id:6,department id:7,department id:8,department id:9,department id:10,department id:11,department id:12
Paramount,"(33.89869309, -118.1745605)","(33.89869309, -118.1745605)","(33.89869309, -118.1745605)","(33.89869309, -118.1745605)",,"(38.67021561, -120.6753082)",,"(33.89869309, -118.1745605)","(33.89869309, -118.1745605)",,
Mount Prospect,"(42.03620529, -87.96143341)","(42.03620529, -87.96143341)","(42.04998016, -87.96906281)","(42.04998016, -87.96906281)","(42.04998016, -87.96906281)","(42.04998016, -87.96906281)","(42.03620529, -87.96143341)","(42.03620529, -87.96143341)","(42.03620529, -87.96143341)",,
Long Beach,"(33.79627991, -118.1914597)","(37.38236237, -122.0837021)","(33.78274536, -118.1611557)","(33.78245163, -118.1922455)","(33.76884842, -118.189537)","(33.77841568, -118.1892853)","(33.87775421, -118.18116)","(33.85414505, -118.191597)","(33.79627991, -118.1914597)",,
Rancho Cordova,"(38.62895966, -121.2530594)","(38.60139084, -121.2836609)","(38.60467911, -121.2890167)","(38.60139084, -121.2836609)","(38.60467911, -121.2890167)","(38.61177445, -121.2828674)",,"(38.61177445, -121.2828674)","(38.61177445, -121.2828674)",,
Billings,"(45.78831101, -108.5594101)","(45.78831101, -108.5594101)","(45.63143539, -108.47435)","(45.78831101, -108.5594101)","(45.67351914, -108.4880753)","(45.63143539, -108.47435)",,,"(45.67351914, -108.4880753)",,
Wilkes Barre,"(41.23545456, -75.86985779)","(41.23545456, -75.86985779)","(41.23545456, -75.86985779)","(41.23545456, -75.86985779)","(41.24243164, -75.8779068)","(41.23545456, -75.86985779)",,,"(41.23545456, -75.86985779)",,
Roseville,"(41.86886215, -84.57365418)","(42.4993248, -82.93652344)","(42.4993248, -82.93652344)","(42.4993248, -82.93652344)","(42.4993248, -82.93652344)","(42.4993248, -82.93652344)",,,,"(42.51826477, -82.93955231)",
Bellflower,"(33.84784699, -118.1253738)","(34.38807297, -117.4167633)","(34.38807297, -117.4167633)","(34.16016388, -118.3745346)","(33.84705353, -118.1272278)","(33.90942383, -118.1253586)","(33.84074402, -118.1248779)","(33.84784699, -118.1253738)","(33.84784699, -118.1253738)",,
Wheaton,"(41.88359833, -88.10980988)","(42.68700028, -87.93047333)","(41.8674736, -88.10948181)","(41.86656189, -88.10800171)","(41.86656189, -88.10800171)","(41.88359833, -88.10980988)",,,"(42.68700028, -87.93047333)","(41.8674736, -88.10948181)",
Detroit,"(42.41482544, -82.9394455)","(42.41725922, -83.15509033)","(42.40109634, -82.92513275)","(42.2364769, -83.14926148)","(42.41482544, -82.9394455)","(29.5480175, -95.18670654)","(42.3622818, -83.22160339)","(42.39391327, -83.00836945)","(42.39391327, -83.00836945)","(42.40109634, -82.92513275)","(42.40109634, -82.92513275)"
Dallas,"(33.00526428, -96.82467651)","(33.05379868, -96.83257294)","(32.753685, -96.86553955)","(32.86539459, -96.86858368)","(32.753685, -96.86553955)","(32.71303558, -96.69631958)","(32.85476685, -96.73997498)","(32.93148804, -96.81433868)","(32.93148804, -96.81433868)","(32.93148804, -96.81433868)","(32.71303558, -96.69631958)"
Carlisle,"(40.03171921, -76.87709808)","(40.23770523, -76.96067047)","(40.23770523, -76.96067047)","(40.19924164, -77.18979645)","(40.03064728, -76.87372589)","(40.23770523, -76.96067047)",,"(40.21443939, -77.18659973)","(40.03069687, -76.87362671)",,
Newark,"(45.59003067, -122.7145844)","(40.75481033, -74.1746521)","(39.68188095, -75.64421082)","(39.67436981, -75.76576996)","(39.68188095, -75.64421082)","(40.75481033, -74.1746521)","(39.67436981, -75.76576996)","(39.67436981, -75.76576996)","(39.67436981, -75.76576996)",,"(39.67436981, -75.76576996)"
Panorama City,"(35.40668869, -118.8953018)","(39.44983673, -119.7902069)","(34.15893936, -118.1809387)","(39.78001022, -121.6163712)","(34.22301102, -118.4487534)","(35.40349197, -118.9204559)",,,"(34.22301102, -118.4487534)","(39.44983673, -119.7902145)",
Atlanta,"(33.68620682, -84.49389648)","(33.61078262, -84.52398682)","(33.81632614, -84.44550324)","(29.59053612, -98.6216507)","(33.65735245, -84.36990356)","(33.69283676, -84.61902618)","(33.69291687, -84.62541199)","(33.84043121, -84.41937256)","(33.68620682, -84.49389648)","(33.63964081, -84.45851135)","(33.81632614, -84.44550324)"
Fremont,"(37.55712128, -121.9916382)","(37.56406784, -121.9806442)","(37.49027634, -121.9271088)","(37.49027634, -121.9271088)","(37.49027634, -121.9271088)","(37.49027634, -121.9271088)","(37.54467011, -121.9774094)","(37.49027634, -121.9271088)","(37.54467011, -121.9774094)",,"(37.49027634, -121.9271088)"
Rochester,"(43.18824005, -77.56706238)","(43.18824005, -77.56706238)","(43.18824005, -77.56706238)","(43.18824005, -77.56706238)","(43.18824005, -77.56706238)","(43.18824005, -77.56706238)",,"(43.18824005, -77.56706238)",,,
Pekin,"(40.56959915, -89.64508057)","(40.60468292, -89.55995178)","(40.54469681, -89.60045624)","(40.56618118, -89.63881683)","(40.5472374, -89.66452026)","(40.57241821, -89.64305115)",,,"(40.5472374, -89.66452026)","(40.56959915, -89.64508057)",
Oak Lawn,"(41.58201981, -88.91252899)","(41.69840622, -87.73734283)","(41.69840622, -87.73734283)","(41.7158165, -87.7405777)","(41.69840622, -87.73734283)","(41.69840622, -87.73734283)","(41.71524811, -87.74067688)","(41.71524811, -87.74067688)",,,
Sunnyvale,"(39.16856766, -121.0644913)","(37.38002014, -122.0521698)","(37.38002014, -122.0521698)","(39.16856766, -121.0644913)","(37.34466934, -122.0356674)","(37.34466934, -122.0356674)","(37.36976242, -122.0313721)","(37.38002014, -122.0521698)","(39.16856766, -121.0644913)",,"(37.38002014, -122.0521698)"
Sugar Land,"(29.709795, -95.63459015)","(29.58597183, -95.62651825)","(29.62356949, -95.60272217)","(29.60190392, -95.60971832)","(29.62356949, -95.60272217)","(29.60190392, -95.60971832)",,"(29.62356949, -95.60272217)","(29.62356949, -95.60272217)","(29.62356949, -95.60272217)",
Brighton,"(41.72080612, -71.45771027)","(42.34962845, -71.15328217)","(41.72080612, -71.45771027)","(42.34962845, -71.15328217)","(41.72080612, -71.45771027)","(42.34962845, -71.15328217)",,"(42.34962845, -71.15328217)","(40.48261643, -80.03521729)",,
Garden Grove,"(33.77561188, -117.9420929)","(33.8030777, -117.9584045)","(33.76652145, -117.9461899)","(33.76652145, -117.9461899)","(33.77560043, -117.9028549)","(33.77349472, -118.0337219)",,"(33.77434921, -117.9047775)","(33.77366638, -118.0033035)","(33.77386475, -118.0264511)","(33.76652145, -117.9461899)"
